Unnamed: 0;Место;Пилот;Команда;Отставание/Сход;gp_ind
4342;16;94;48;+2 круга;200
4343;17;63;17;+2 круга;200
4344;18;55;48;+3 круга;200
4345;НК;155;43;DNF;200
4346;НК;77;30;DNF;200
4347;1;144;31;Победитель;201
4348;2;17;31;+18.056;201
4349;3;60;15;+18.985;201
4350;4;127;37;+34.905;201
4351;5;128;15;+62.796;201
4352;6;106;30;+95.462;201
4353;7;93;1;+1 круг;201
4354;8;145;38;+1 круг;201
4355;9;77;30;+1 круг;201
4356;10;32;37;+1 круг;201
4357;11;99;38;+1 круг;201
4358;12;83;36;+1 круг;201
4359;13;115;36;+1 круг;201
4360;14;49;43;+1 круг;201
4361;15;155;43;+1 круг;201
4362;16;40;1;+1 круг;201
4363;17;63;17;+1 круг;201
4364;18;55;48;+2 круг;201
4365;19;94;48;+2 круг;201
4366;НК;38;17;DNF;201
4367;1;127;37;Победитель;202
4368;2;60;15;+2.724;202
4369;3;17;31;+18.960;202
4370;4;128;15;+19.610;202
4371;5;144;31;+22.805;202
4372;6;77;30;+1 круг;202
4373;7;32;37;+1 круг;202
4374;8;106;30;+1 круг;202
4375;9;93;1;+1 круг;202
4376;10;40;1;+1 круг;202
4377;11;83;36;+1 круг;202
4378;12;99;38;+1 круг;202
4379;13;145;38;+1 круг;202
4380;14;115;36;+1 круг;202
4381;15;155;43;+1 круг;202
4382;16;38;17;+1 круг;202
4383;17;49;43;+1 круг;202
4384;18;94;48;+2 круга;202
4385;19;63;17;+2 круга;202
4386;20;55;48;+3 круга;202
4387;1;144;31;Победитель;203
4388;2;17;31;+24.928;203
4389;3;60;15;+30.117;203
4390;4;32;37;+34.692;203
4391;5;127;37;+39.458;203
4392;6;106;30;+53.639;203
4393;7;99;38;+54.401;203
4394;8;93;1;+1:05.540;203
4395;9;49;43;+1:06.720;203
4396;10;145;38;+1:12.733;203
4397;11;77;30;+1:14.281;203
4398;12;155;43;+1:15.617;203
4399;13;115;36;+1:21.086;203
4400;14;94;48;+1 круг;203
4401;15;55;48;+1 круг;203
4402;16;128;15;+1 круг;203
4403;17;83;36;+1 круг;203
4404;НК;40;1;DNF;203
4405;НК;38;17;DNF;203
4406;НК;63;17;DNF;203
4407;1;127;37;Победитель;204
4408;2;128;15;+7.333;204
4409;3;49;43;+8.305;204
4410;4;115;36;+8.966;204
4411;5;106;30;+9.583;204
4412;6;155;43;+10.052;204
4413;7;38;17;+16.838;204
4414;8;63;17;+18.765;204
4415;9;144;31;+19.667;204
4416;10;55;48;+24.987;204
4417;11;94;48;+26.404;204
4418;12;93;1;+42.214;204
4419;13;40;1;+43.849;204
4420;14;32;37;DNF;204
4421;НК;17;31;DNF;204
4422;НК;145;38;DNF;204
4423;НК;60;15;DNF;204
4424;НК;77;30;DNF;204
4425;НК;99;38;DNF;204
4426;НК;83;36;DNF;204
4427;1;144;31;Победитель;205
4428;2;127;37;+17.796;205
4429;3;128;15;+61.433;205
4430;4;60;15;+65.250;205
4431;5;106;30;+1 круг;205
4432;6;32;37;+1 круг;205
4433;7;93;1;+1 круг;205
4434;8;17;31;+1 круг;205
4435;9;77;30;+1 круг;205
4436;10;155;43;+1 круг;205
4437;11;83;36;+1 круг;205
4438;12;145;38;+1 круг;205
4439;13;63;17;+1 круг;205
4440;14;99;38;+1 круг;205
4441;15;49;43;+2 круга;205
4442;16;94;48;+2 круга;205
4443;17;115;36;+2 круга;205
4444;18;40;1;+2 круга;205
4445;19;55;48;+3 круга;205
4446;НК;38;17;DNF;205
4447;1;60;15;Победитель;206
4448;2;144;31;+0.981;206
4449;3;17;31;+12.585;206
4450;4;128;15;+26.422;206
4451;5;155;37;+81.325;206
4452;6;83;36;+84.448;206
4453;7;49;43;+89.657;206
4454;8;145;38;+106.639;206
4455;9;32;43;+109.168;206
4456;10;115;36;+109.838;206
4457;11;77;30;DNF;206
4458;12;63;17;+1 круг;206
4459;13;38;17;+1 круг;206
4460;14;99;38;+1 круг;206
4461;15;94;48;+1 круг;206
4462;16;93;1;+1 круг;206
4463;17;55;48;+1 круг;206
4464;18;40;1;DNF;206
4465;НК;106;30;DNF;206
4466;НК;127;37;DNF;206
4467;1;60;15;Победитель;207
4468;2;17;31;+0.835;207
4469;3;144;31;+35.199;207
4470;4;99;38;+45.515;207
4471;5;145;38;+58.165;207
4472;6;155;37;+59.315;207
4473;7;83;36;+1:13.802;207
4474;8;127;37;+1:14.492;207
4475;9;40;1;+1 круг;207
4476;10;77;30;+1 круг;207
4477;11;32;43;+1 круг;207
4478;12;115;36;+1 круг;207
4479;13;128;15;+1 круг;207
4480;14;94;48;+1 круг;207
4481;15;93;1;+1 круг;207
4482;16;38;17;+1 круг;207
4483;17;55;48;+2 круга;207
4484;НК;63;17;DNF;207
4485;НК;49;43;DNF;207
4486;НК;106;30;DNF;207
4487;1;128;15;Победитель;208
4488;2;60;15;+2.641;208
4489;3;127;37;+3.821;208
4490;4;144;31;+4.608;208
4491;5;17;31;+6.119;208
4492;6;155;37;+11.663;208
4493;7;77;30;+14.769;208
4494;8;32;43;+15.547;208
4495;9;145;38;+16.718;208
4496;10;40;1;+17.855;208
4497;11;38;17;+35.436;208
4498;12;106;30;+35.974;208
4499;13;115;36;+36.419;208
4500;14;99;38;+37.660;208
4501;15;49;43;+38.178;208
4502;16;55;48;+47.024;208
4503;17;63;17;+1:26.522;208
4504;НК;93;1;DNF;208
4505;НК;83;36;DNF;208
4506;НК;94;48;DNF;208
4507;1;144;31;Победитель;209
4508;2;17;31;+3.829;209
4509;3;60;15;+5.212;209
4510;4;127;37;+14.210;209
4511;5;155;37;+38.348;209
4512;6;106;30;+45.889;209
4513;7;83;36;+48.728;209
4514;8;77;30;+57.749;209
4515;9;63;17;+58.779;209
4516;10;145;38;+59.841;209
4517;11;115;36;+1:00.821;209
4518;12;49;43;+1:02.496;209
4519;13;93;1;+1:08.910;209
4520;14;32;43;+1:10.076;209
4521;15;40;1;+1:13.346;209
4522;НК;55;48;DNF;209
4523;НК;94;48;DNF;209
4524;НК;128;15;DNF;209
4525;НК;99;38;DNF;209
4526;НК;38;17;DNF;209
4527;1;17;31;Победитель;210
4528;2;128;15;+13.343;210
4529;3;144;31;+13.858;210
4530;4;155;37;+59.537;210
4531;5;106;30;+69.101;210
4532;6;60;15;+1 круг;210
4533;7;32;43;+1 круг;210
4534;8;83;36;+1 круг;210
4535;9;115;36;+1 круг;210
4536;10;49;43;+1 круг;210
4537;11;77;30;+1 круг;210
4538;12;93;1;+1 круг;210
4539;13;38;17;+1 круг;210
4540;14;40;1;+1 круг;210
4541;15;63;17;+1 круг;210
4542;16;94;48;+ 2 круга;210
4543;17;55;48;+ 2 круга;210
4544;НК;127;37;DNF;210
4545;Дскв;99;38;+1 круг;210
4546;Дскв;145;38;+1 круг;210
4547;1;144;31;Победитель;211
4548;2;128;15;+1.766;211
4549;3;17;31;+3.553;211
4550;4;60;15;+6.368;211
4551;5;155;37;+21.399;211
4552;6;127;37;+68.807;211
4553;7;83;36;+73.819;211
4554;8;99;38;+74.924;211
4555;9;32;43;+1 круг;211
4556;10;145;38;+1 круг;211
4557;11;49;43;+1 круг;211
4558;12;115;36;+1 круг;211
4559;13;106;30;+1 круг;211
4560;14;40;1;+1 круг;211
4561;15;63;17;+2 круга;211
4562;16;94;48;+2 круга;211
4563;17;38;17;+2 круга;211
4564;18;55;48;+2 круга;211
4565;НК;93;1;DNF;211
4566;НК;77;30;DNF;211
4567;1;17;31;Победитель;212
4568;2;144;31;+4.148;212
4569;3;127;37;+5.002;212
4570;4;60;15;+52.239;212
4571;5;155;37;+78.038;212
4572;6;99;38;+90.366;212
4573;7;77;30;+90.764;212
4574;8;106;30;+1 круг;212
4575;9;145;38;+1 круг;212
4576;10;83;36;+1 круг;212
4577;11;93;1;+1 круг;212
4578;12;49;43;+1 круг;212
4579;13;115;36;+1 круг;212
4580;14;40;1;+1 круг;212
4581;15;38;17;+1 круг;212
4582;16;32;43;DNF;212
4583;17;94;48;+ 2 круга;212
4584;18;63;17;DNF;212
4585;НК;55;48;DNF;212
4586;НК;128;15;DNF;212
4587;1;127;37;Победитель;213
4588;2;32;43;+6.077;213
4589;3;106;30;+8.896;213
4590;4;93;1;+9.452;213
4591;5;40;1;+10.201;213
4592;6;99;38;+10.541;213
4593;7;144;31;+11.139;213
4594;8;77;30;+11.204;213
4595;9;83;36;+11.529;213
4596;10;49;43;+11.931;213
4597;11;63;17;+12.732;213
4598;12;94;48;+18.059;213
4599;13;38;17;+1 круг;213
4600;14;155;37;+6 кругов;213
4601;15;145;38;+6 кругов;213
4602;16;55;48;+6 кругов;213
4603;17;128;15;DNF;213
4604;18;115;36;DNF;213
4605;19;60;15;DNF;213
4606;НК;17;31;DNF;213
4607;1;144;31;Победитель;214
4608;2;127;37;+16.772;214
4609;3;60;15;+43.435;214
4610;4;17;31;+44.381;214
4611;5;128;15;+1:04.353;214
4612;6;155;37;+1:09.204;214
4613;7;83;36;+1 круг;214
4614;8;77;30;+1 круг;214
4615;9;49;43;+1 круг;214
4616;10;106;30;+1 круг;214
4617;11;99;38;+1 круг;214
4618;12;145;38;+1 круг;214
4619;13;93;1;+1 круг;214
4620;14;63;17;+1 круг;214
4621;15;38;17;+1 круг;214
4622;16;40;1;+1 круг;214
4623;17;94;48;+1 круг;214
4624;18;32;43;+2 круга;214
4625;19;55;48;+2 круга;214
4626;НК;115;36;DNF;214
4627;1;17;31;Победитель;215
4628;2;60;15;+2.700;215
4629;3;77;30;+5.491;215
4630;4;144;31;+5.689;215
4631;5;106;30;+8.903;215
4632;6;83;36;+15.092;215
4633;7;32;2;+16.682;215
4634;8;78;38;+17.456;215
4635;9;40;1;+21.146;215
4636;10;128;15;+24.545;215
4637;11;57;48;+31.650;215
4638;12;49;2;DNF;215
4639;13;155;37;DNF;215
4640;НК;93;1;DNF;215
4641;НК;94;48;DNF;215
4642;НК;38;17;DNF;215
4643;НК;63;17;DNF;215
4644;НК;115;36;DNF;215
4645;НК;99;38;DNF;215
4646;НК;127;37;DNF;215
4647;1;144;31;Победитель;216
4648;2;17;31;+13.719;216
4649;3;127;37;+33.698;216
4650;4;155;37;+44.400;216
4651;5;77;30;+61.470;216
4652;6;83;36;+62.387;216
4653;7;115;36;+62.453;216
4654;8;99;38;+62.591;216
4655;9;106;30;+1 круг;216
4656;10;49;2;+1 круг;216
4657;11;93;1;+1 круг;216
4658;12;63;17;+1 круг;216
4659;13;38;17;+1 круг;216
4660;14;40;1;+1 круг;216
4661;15;32;2;+1 круг;216
4662;16;94;48;+2 круга;216
4663;17;57;48;+2 круга;216
4664;НК;78;38;DNF;216
4665;НК;60;15;DNF;216
4666;НК;128;15;DNF;216
4667;1;144;31;Победитель;217
4668;2;127;37;+8.702;217
4669;3;17;31;+9.452;217
4670;4;115;36;+57.579;217
4671;5;155;37;+78.316;217
4672;6;128;15;+ 1 круг;217
4673;7;83;36;+ 1 круг;217
4674;8;99;38;+ 1 круг;217
4675;9;106;30;+ 1 круг;217
4676;10;63;17;+ 1 круг;217
4677;11;60;15;+ 1 круг;217
4678;12;49;2;+ 1 круг;217
4679;13;77;30;+ 1 круг;217
4680;14;78;38;+ 1 круг;217
4681;15;93;1;+1 круг;217
4682;16;38;17;+ 1 круг;217
4683;17;40;1;+ 1 круг;217
4684;18;94;48;+ 1 круг;217
4685;19;57;48;+ 5 кругов;217
4686;НК;32;2;DNF;217
4687;1;144;31;Победитель;218
4688;2;127;37;+5.856;218
4689;3;60;15;+18.474;218
4690;4;99;38;+19.650;218
4691;5;77;30;+22.277;218
4692;6;78;38;+26.937;218
4693;7;32;2;+31.188;218
4694;8;155;37;+32.670;218
4695;9;115;36;+37.311;218
4696;10;128;15;+41.857;218
4697;11;17;31;+42.167;218
4698;12;94;48;+52.004;218
4699;13;106;30;+53.370;218
4700;14;40;1;+54.205;218
4701;15;57;48;+54.549;218
4702;16;38;17;+55.050;218
4703;17;93;1;+1 круг;218
4704;НК;49;2;DNF;218
4705;НК;63;17;DNF;218
4706;НС;145;36;Не стартовал;218
4707;1;127;37;Победитель;219
4708;2;144;31;+11.326;219
4709;3;17;31;+19.231;219
4710;4;60;15;+29.289;219
4711;5;155;37;+39.146;219
4712;6;115;36;+42.538;219
4713;7;145;36;+55.951;219
4714;8;78;38;+64.773;219
4715;9;77;30;+65.544;219
4716;10;49;2;+69.669;219
4717;11;32;2;+70.642;219
4718;12;128;15;+73.370;219
4719;13;106;30;+74.070;219
4720;14;99;38;+1 круг;219
4721;15;93;1;+1 круг;219
4722;16;38;17;+1 круг;219
4723;17;40;1;+1 круг;219
4724;18;94;48;+1 круг;219
4725;19;57;48;+1 круг;219
4726;НК;63;17;DNF;219
4727;1;144;31;Победитель;220
4728;2;127;37;+24.177;220
4729;3;17;31;+44.752;220
4730;4;115;36;+1 круг;220
4731;5;83;36;+1 круг;220
4732;6;106;30;+1 круг;220
4733;7;128;15;+1 круг;220
4734;8;155;37;+1 круг;220
4735;9;32;2;+1 круг;220
4736;10;77;30;+1 круг;220
4737;11;99;38;+1 круг;220
4738;12;49;2;+1 круг;220
4739;13;78;38;+1 круг;220
4740;14;93;1;+1 круг;220
4741;15;63;17;+1 круг;220
4742;16;40;1;+1 круг;220
4743;17;94;48;+1 круг;220
4744;18;57;48;+2 круга;220
4745;19;38;17;+2 круга;220
4746;НК;60;15;DNF;220
4747;1;144;31;Победитель;221
4748;2;17;31;+8.448;221
4749;3;127;37;+15.455;221
4750;4;99;38;+18.877;221
4751;5;78;38;+40.650;221
4752;6;155;37;+42.712;221
4753;7;77;30;+43.774;221
4754;8;32;2;+47.371;221
4755;9;115;36;+52.603;221
4756;10;83;36;+53.179;221
4757;11;49;2;+70.200;221
4758;12;93;1;+71.504;221
4759;13;128;15;+72.894;221
4760;14;60;15;+74.920;221
4761;15;38;17;+76.793;221
4762;16;57;48;+77.795;221
4763;17;63;17;+85.540;221
4764;НК;106;30;DNF;221
4765;НК;40;1;DNF;221
4766;НК;94;48;DNF;221
4767;1;32;2;Победитель;222
4768;2;106;30;+0.415;222
4769;3;115;36;+3.358;222
4770;4;77;30;+6.000;222
4771;5;17;31;+7.108;222
4772;6;99;38;+8.391;222
4773;7;144;31;+17.245;222
4774;8;78;38;+18.691;222
4775;9;49;2;+22.208;222
4776;10;83;36;+23.224;222
4777;11;57;48;+32.876;222
4778;12;38;17;+35.164;222
4779;13;93;1;+36.312;222
4780;14;94;48;+36.593;222
4781;15;155;37;+37.533;222
4782;16;40;1;+55.199;222
4783;НК;127;37;DNF;222
4784;НК;60;15;DNF;222
4785;НК;63;17;DNF;222
4786;НК;128;15;DNF;222
4787;1;144;31;Победитель;223
4788;2;17;31;+4.880;223
4789;3;155;37;+8.064;223
4790;4;99;38;+10.417;223
4791;5;83;36;+15.650;223
4792;6;77;30;+18.883;223
4793;7;49;2;+21.756;223
4794;8;60;15;+28.345;223
4795;9;93;1;+29.770;223
4796;10;128;15;+29.983;223
4797;11;94;48;+32.404;223
4798;12;38;17;+42.036	;223
4799;13;115;36;DNF;223
4800;14;78;38;DNF;223
4801;15;57;48;DNF;223
4802;16;63;17;DNF;223
4803;17;40;1;DNF;223
4804;18;106;30;DNF;223
4805;19;127;37;DNF;223
4806;20;32;2;DNF;223
4807;1;17;31;Победитель;224
4808;2;127;37;+7.729;224
4809;3;144;31;+22.729;224
4810;4;83;36;+30.558;224
4811;5;99;38;+52.065;224
4812;6;60;15;+62.186;224
4813;7;78;38;+68.006;224
4814;8;49;2;+68.740;224
4815;9;32;2;+89.766;224
4816;10;155;37;+97.860;224
4817;11;40;1;+1 круг;224
4818;12;63;17;+1 круг;224
4819;13;128;15;+1 круг;224
4820;14;93;1;+1 круг;224
4821;15;77;30;+1 круг;224
4822;16;57;48;+1 круг;224
4823;17;38;17;+1 круг;224
4824;18;94;48;+1 круг;224
4825;НК;115;36;DNF;224
4826;НК;106;30;DNF;224
4827;1;144;31;Победитель;225
4828;2;127;37;+4.470;225
4829;3;99;38;+14.613;225
4830;4;83;36;+16.070;225
4831;5;106;30;+21.905;225
4832;6;32;2;+22.766;225
4833;7;60;15;+30.814;225
4834;8;145;36;+32.596;225
4835;9;38;17;+39.081;225
4836;10;40;1;+40.035;225
4837;11;128;15;+40.810;225
4838;12;93;1;+41.476;225
4839;13;63;17;+49.585;225
4840;14;57;48;+54.449;225
4841;15;49;2;+55.588;225
4842;НК;77;30;DNF;225
4843;НК;155;37;DNF;225
4844;НК;78;38;DNF;225
4845;НК;17;31;DNF;225
4846;НК;94;48;DNF;225
4847;1;144;31;Победитель;226
4848;2;17;31;+25.592;226
4849;3;127;37;+34.508;226
4850;4;60;15;+1:05.312;226
4851;5;32;2;+1 круг;226
4852;6;106;30;+1 круг;226
4853;7;83;36;+1 круг;226
4854;8;78;38;+1 круг;226
4855;9;99;38;+1 круг;226
4856;10;128;15;+1 круг;226
4857;11;93;1;+1 круг;226
4858;12;155;37;+1 круг;226
4859;13;77;30;+1 круг;226
4860;14;94;48;+1 круг;226
4861;15;40;1;+1 круг;226
4862;16;38;17;+1 круг;226
4863;17;63;17;+1 круг;226
4864;18;57;48;+2 круга;226
4865;19;49;2;+2 круга;226
4866;НК;115;36;DNF;226
4867;1;144;31;Победитель;227
4868;2;17;31;+5.783;227
4869;3;99;38;+14.320;227
4870;4;49;2;+15.141;227
4871;5;60;15;+19.111;227
4872;6;83;36;+19.652;227
4873;7;106;30;+20.230;227
4874;8;77;30;+21.131;227
4875;9;93;1;+22.224;227
4876;10;40;1;+26.398;227
4877;11;57;48;+27.135;227
4878;12;128;15;+28.453;227
4879;13;115;36;+29.163;227
4880;14;38;17;+32.935;227
4881;15;155;37;+57.284;227
4882;НК;94;48;DNF;227
4883;НК;127;37;DNF;227
4884;НК;63;17;DNF;227
4885;НК;78;38;DNF;227
4886;НК;32;2;DNF;227
4887;1;144;31;Победитель;228
4888;2;83;36;+31.633;228
4889;3;128;15;+31.960;228
4890;4;60;15;+33.858;228
4891;5;106;30;+34.363;228
4892;6;127;37;+44.873;228
4893;7;155;37;+46.484;228
4894;8;77;30;+61.259;228
4895;9;115;36;+72.353;228
4896;10;99;38;+95.460;228
4897;11;78;38;+1 круг;228
4898;12;49;2;+1 круг;228
4899;13;32;2;+1 круг;228
4900;14;17;31;+1 круг;228
4901;15;93;1;+1 круг;228
4902;16;94;48;+1 круг;228
4903;17;63;17;DNF;228
4904;НК;38;17;DNF;228
4905;НК;57;48;DNF;228
4906;НК;40;1;DNF;228
4907;1;144;31;Победитель;229
4908;2;127;37;+1.254;229
4909;3;155;37;+8.005;229
4910;4;77;30;+11.337;229
4911;5;106;30;+11.787;229
4912;6;32;2;+11.942;229
4913;7;99;38;+19.368;229
4914;8;17;31;+19.680;229
4915;9;78;38;+22.803;229
4916;10;60;15;+1 круг;229
4917;11;49;2;+1 круг;229
4918;12;94;48;+1 круг;229
4919;13;128;15;+1 круг;229
4920;14;57;48;+1 круг;229
4921;15;93;1;+1 круг;229
4922;16;40;1;+1 круг;229
4923;17;63;17;+1 круг;229
4924;18;83;36;DNF;229
4925;НК;115;36;DNF;229
4926;НК;38;17;DNF;229
4927;1;83;36;Победитель;230
4928;2;78;38;+10.518;230
4929;3;115;36;+11.869;230
4930;4;106;30;+12.580;230
4931;5;99;38;+13.330;230
4932;6;155;37;+13.842;230
4933;7;49;2;+14.534;230
4934;8;17;31;+15.389;230
4935;9;94;31;+18.556;230
4936;10;77;30;+19.541;230
4937;11;32;2;+20.527;230
4938;12;128;15;+22.611;230
4939;13;40;1;+24.111;230
4940;14;93;1;+26.153;230
4941;15;63;17;+32.370;230
4942;16;154;48;+33.674;230
4943;17;131;17;+36.858;230
4944;НК;57;48;DNF;230
4945;НК;127;37;DNF;230
4946;НК;60;15;DNF;230
4947;1;127;37;Победитель;231
4948;2;17;31;+15.976;231
4949;3;144;31;+18.415;231
4950;4;155;37;+19.987;231
4951;5;77;30;+60.729;231
4952;6;106;30;+65.662;231
4953;7;99;38;+73.748;231
4954;8;32;2;+89.718;231
4955;9;78;38;+101.069;231
4956;10;115;36;+102.738;231
4957;11;49;2;+1 круг;231
4958;12;93;1;+1 круг;231
4959;13;60;15;+1 круг;231
4960;14;128;15;+1 круг;231
4961;15;94;48;+1 круг;231
4962;16;40;1;+1 круг;231
4963;17;57;48;+1 круг;231
4964;18;63;17;+1 круг;231
4965;19;131;17;+2 круга;231
4966;НК;83;36;DNF;231
4967;1;144;31;Победитель;232
4968;2;127;37;+0.745;232
4969;3;17;31;+37.383;232
4970;4;77;30;+46.466;232
4971;5;83;37;+52.047;232
4972;6;60;15;+59.090;232
4973;7;99;30;+66.004;232
4974;8;106;15;+67.100;232
4975;9;146;2;+85.692;232
4976;10;115;5;+86.713;232
4977;11;93;1;+88.864;232
4978;12;40;1;+1 круг;232
4979;13;78;3;+1 круг;232
4980;14;94;48;+1 круг;232
4981;15;128;5;+1 круг;232
4982;16;153;17;+1 круг;232
4983;17;32;2;DNF;232
4984;18;57;48;DNF;232
4985;НК;1;3;DNF;232
4986;НК;64;17;DNF;232
4987;1;127;37;Победитель;233
4988;2;144;31;+22.000;233
4989;3;77;30;+23.702;233
4990;4;60;15;+25.579;233
4991;5;106;15;+27.036;233
4992;6;99;30;+51.220;233
4993;7;32;2;+52.818;233
4994;8;115;5;+56.909;233
4995;9;78;3;+65.704;233
4996;10;1;3;+66.561;233
4997;11;83;37;+67.151;233
4998;12;146;2;+73.184;233
4999;13;93;1;+94.773;233
5000;14;40;1;+1 круг;233
5001;15;128;5;DNF;233
5002;16;153;17;+2 круга;233
5003;17;64;17;+2 круга;233
5004;НК;17;31;DNF;233
5005;НК;94;48;DNF;233
5006;НК;57;48;DNF;233
5007;1;144;31;Победитель;234
5008;2;127;37;+29.148;234
5009;3;17;31;+33.530;234
5010;4;83;37;+39.735;234
5011;5;77;30;+51.369;234
5012;6;60;15;+55.781;234
5013;7;78;3;+63.749;234
5014;8;1;3;+64.808;234
5015;9;99;30;+75.369;234
5016;10;32;2;+76.463;234
5017;11;106;15;+78.955;234
5018;12;40;1;+1 круг;234
5019;13;128;5;+1 круг;234
5020;14;115;5;+1 круг;234
5021;15;146;2;+1 круг;234
5022;16;94;48;+1 круг;234
5023;17;153;17;+2 круга;234
5024;18;57;48;+2 круга;234
5025;19;64;17;+2 круга;234
5026;20;93;1;DNF;234
5027;1;144;31;Победитель;235
5028;2;127;37;+15.841;235
5029;3;17;31;+26.610;235
5030;4;60;15;+54.616;235
5031;5;83;37;+63.671;235
5032;6;99;30;+73.768;235
5033;7;106;15;+74.670;235
5034;8;77;30;+1 круг;235
5035;9;78;3;+1 круг;235
5036;10;32;2;+1 круг;235
5037;11;115;5;+1 круг;235
5038;12;93;1;+1 круг;235
5039;13;128;5;+1 круг;235
5040;14;94;48;+1 круг;235
5041;15;40;1;+1 круг;235
5042;16;57;48;+1 круг;235
5043;17;1;3;+1 круг;235
5044;18;153;17;+2 круга;235
5045;19;64;17;+2 круга;235
5046;НК;146;2;DNF;235
5047;1;127;37;Победитель;236
5048;2;106;15;+8.968;236
5049;3;77;30;+19.427;236
5050;4;83;37;+20.490;236
5051;5;128;5;+52.591;236
5052;6;32;2;+53.896;236
5053;7;144;31;+68.231;236
5054;8;115;5;+1 круг;236
5055;9;78;3;+1 круг;236
5056;10;40;1;+1 круг;236
5057;11;93;1;+1 круг;236
5058;12;99;30;+1 круг;236
5059;13;1;3;+1 круг;236
5060;14;94;48;+1 круг;236
5061;15;57;48;+1 круг;236
5062;16;146;2;+1 круг;236
5063;17;64;17;+3 круга;236
5064;18;153;17;+3 круга;236
5065;НК;17;31;DNF;236
5066;НК;60;15;DNF;236
5067;1;83;37;Победитель;237
5068;2;128;5;+1.385;237
5069;3;32;2;+2.762;237
5070;4;60;15;+3.828;237
5071;5;77;30;+4.754;237
5072;6;1;3;+6.382;237
5073;7;146;2;+6.624;237
5074;8;106;15;+7.709;237
5075;9;99;30;+8.874;237
5076;10;93;1;+9.576;237
5077;11;40;1;+10.254;237
5078;12;17;31;+11.264;237
5079;13;153;17;+14.241;237
5080;14;64;17;+14.315;237
5081;15;144;31;+17.668;237
5082;16;57;48;+42.379;237
5083;17;94;48;DNF;237
5084;18;127;37;DNF;237
5085;НК;115;5;DNF;237
5086;НК;78;3;DNF;237
5087;1;127;37;Победитель;238
5088;2;144;31;+2.904;238
5089;3;83;37;+8.811;238
5090;4;17;31;+14.618;238
5091;5;77;30;+64.032;238
5092;6;99;30;+75.857;238
5093;7;32;2;+76.596;238
5094;8;1;3;+77.695;238
5095;9;128;5;+79.666;238
5096;10;115;5;+91.946;238
5097;11;106;15;+99.337;238
5098;12;94;48;+1 круг;238
5099;13;146;2;+1 круг;238
5100;14;78;3;+1 круг;238
5101;15;40;1;+1 круг;238
5102;16;60;15;+1 круг;238
5103;17;93;1;+1 круг;238
5104;18;57;48;+1 круг;238
5105;19;153;17;+1 круг;238
5106;20;64;17;+1 круг;238
5107;1;127;37;Победитель;239
5108;2;144;31;+35.743;239
5109;3;17;31;+46.907;239
5110;4;83;37;+47.434;239
5111;5;77;30;+1 круг;239
5112;6;106;15;+1 круг;239
5113;7;60;15;+1 круг;239
5114;8;115;5;+1 круг;239
5115;9;1;3;+1 круг;239
5116;10;146;2;+1 круг;239
5117;11;93;1;+1 круг;239
5118;12;128;5;+1 круг;239
5119;13;99;30;+1 круг;239
5120;14;78;3;+1 круг;239
5121;15;40;1;+1 круг;239
5122;16;153;17;+2 круга;239
5123;17;57;48;+3 круга;239
5124;18;64;17;+3 круга;239
5125;НК;94;48;DNF;239
5126;НК;32;2;DNF;239
5127;1;127;37;Победитель;240
5128;2;17;31;+17.973;240
5129;3;77;30;+20.019;240
5130;4;144;31;+46.452;240
5131;5;106;15;+57.144;240
5132;6;83;37;+57.915;240
5133;7;99;30;+60.395;240
5134;8;60;15;+61.195	;240
5135;9;32;2;+61.844;240
5136;10;1;3;+1 круг;240
5137;11;94;48;+1 круг;240
5138;12;146;2;+1 круг;240
5139;13;115;5;+1 круг;240
5140;14;40;1;+1 круг;240
5141;15;57;48;+1 круг;240
5142;16;93;1;+1 круг;240
5143;17;128;5;DNF;240
5144;18;153;17;+2 круга;240
5145;19;64;17;+2 круга;240
5146;НК;78;3;DNF;240
5147;1;144;31;Победитель;241
5148;2;60;15;+3.871;241
5149;3;17;31;+11.125;241
5150;4;77;30;+28.573;241
5151;5;99;30;+42.624;241
5152;6;106;15;+43.454;241
5153;7;1;3;+72.093;241
5154;8;115;5;+74.289;241
5155;9;78;3;+76.162;241
5156;10;146;2;+82.065;241
5157;11;32;2;+85.327;241
5158;12;94;48;+1 круг;241
5159;13;40;1;+1 круг;241
5160;14;57;48;+1 круг;241
5161;15;93;1;+1 круг;241
5162;16;83;37;+1 круг;241
5163;17;64;17;+1 круг;241
5164;18;153;17;+1 круг;241
5165;НК;128;5;DNF;241
5166;НК;127;37;DNF;241
5167;1;78;3;Победитель;242
5168;2;144;31;+2.736;242
5169;3;106;15;+15.018;242
5170;4;1;3;+15.651;242
5171;5;32;2;+63.614;242
5172;6;146;2;+75.803;242
5173;7;57;48;+77.910;242
5174;8;94;48;+79.094;242
5175;9;127;37;+80.244;242
5176;10;93;1;+1 круг;242
5177;11;99;30;+1 круг;242
5178;12;153;17;+1 круг;242
5179;13;40;1;+1 круг;242
5180;НК;64;17;DNF;242
5181;НК;77;30;DNF;242
5182;НК;83;37;DNF;242
5183;НК;115;5;DNF;242
5184;НК;60;15;DNF;242
5185;НК;17;31;DNF;242
5186;Дскв;128;5;+1.859;242
5187;1;127;37;Победитель;243
5188;2;94;48;+2.198;243
5189;3;144;31;+3.518;243
5190;4;99;30;+5.951;243
5191;5;128;5;+7.894;243
5192;6;32;2;+10.275;243
