;0;1;2;3;4
116;2015;Гран-при Бахрейна;19;апреля;Сахир
117;2015;Гран-при Испании;10;мая;Каталунья-Монтмело
118;2015;Гран-при Монако;24;мая;Монте-Карло
119;2015;Гран-при Канады;07;июня;Монреаль
120;2015;Гран-при Австрии;21;июня;Ред Булл Ринг
121;2015;Гран-при Великобритании;05;июля;Сильверстоун
122;2015;Гран-при Венгрии;26;июля;Хунгароринг
123;2015;Гран-при Бельгии;23;августа;Спа-Франкоршан
124;2015;Гран-при Италии;06;сентября;Монца
125;2015;Гран-при Сингапура;20;сентября;Марина Бей
126;2015;Гран-при Японии;27;сентября;Сузука
127;2015;Гран-при России;11;октября;Сочи
128;2015;Гран-при США;25;октября;Остин
129;2015;Гран-при Мексики;01;ноября;Мехико
130;2015;Гран-при Бразилии;15;ноября;Интерлагос
131;2015;Гран-при Абу-Даби;29;ноября;Яс-Марина
132;2016;Гран-при Австралии;20;марта;Мельбурн
133;2016;Гран-при Бахрейна;03;апреля;Сахир
134;2016;Гран-при Китая;17;апреля;Шанхай
135;2016;Гран-при России;01;мая;Сочи
136;2016;Гран-при Испании;15;мая;Каталунья-Монтмело
137;2016;Гран-при Монако;29;мая;Монте-Карло
138;2016;Гран-при Канады;12;июня;Монреаль
139;2016;Гран-при Европы;19;июня;Баку
140;2016;Гран-при Австрии;03;июля;Ред Булл Ринг
141;2016;Гран-при Великобритании;10;июля;Сильверстоун
142;2016;Гран-при Венгрии;24;июля;Хунгароринг
143;2016;Гран-при Германии;31;июля;Хоккенхайм
144;2016;Гран-при Бельгии;28;августа;Спа-Франкоршан
145;2016;Гран-при Италии;04;сентября;Монца
146;2016;Гран-при Сингапура;18;сентября;Марина Бей
147;2016;Гран-при Малайзии;02;октября;Сепанг
148;2016;Гран-при Японии;09;октября;Сузука
149;2016;Гран-при США;23;октября;Остин
150;2016;Гран-при Мексики;30;октября;Мехико
151;2016;Гран-при Бразилии;13;ноября;Интерлагос
152;2016;Гран-при Абу-Даби;27;ноября;Яс-Марина
153;2017;Гран-при Австралии;26;марта;Мельбурн
154;2017;Гран-при Китая;09;апреля;Шанхай
155;2017;Гран-при Бахрейна;16;апреля;Сахир
156;2017;Гран-при России;30;апреля;Сочи
157;2017;Гран-при Испании;14;мая;Каталунья-Монтмело
158;2017;Гран-при Монако;28;мая;Монте-Карло
159;2017;Гран-при Канады;11;июня;Монреаль
160;2017;Гран-при Азербайджана;25;июня;Баку
161;2017;Гран-при Австрии;09;июля;Ред Булл Ринг
162;2017;Гран-при Великобритании;16;июля;Сильверстоун
163;2017;Гран-при Венгрии;30;июля;Хунгароринг
164;2017;Гран-при Бельгии;27;августа;Спа-Франкоршан
165;2017;Гран-при Италии;03;сентября;Монца
166;2017;Гран-при Сингапура;17;сентября;Марина Бей
167;2017;Гран-при Малайзии;01;октября;Сепанг
168;2017;Гран-при Японии;08;октября;Сузука
169;2017;Гран-при США;22;октября;Остин
170;2017;Гран-при Мексики;29;октября;Мехико
171;2017;Гран-при Бразилии;12;ноября;Интерлагос
172;2017;Гран-при Абу-Даби;26;ноября;Яс-Марина
173;2018;Гран-при Австралии;25;марта;Мельбурн
174;2018;Гран-при Бахрейна;08;апреля;Сахир
175;2018;Гран-при Китая;15;апреля;Шанхай
176;2018;Гран-при Азербайджана;29;апреля;Баку
177;2018;Гран-при Испании;13;мая;Каталунья-Монтмело
178;2018;Гран-при Монако;27;мая;Монте-Карло
179;2018;Гран-при Канады;10;июня;Монреаль
180;2018;Гран-при Франции;24;июня;Поль Рикар
181;2018;Гран-при Австрии;01;июля;Ред Булл Ринг
182;2018;Гран-при Великобритании;08;июля;Сильверстоун
183;2018;Гран-при Германии;22;июля;Хоккенхайм
184;2018;Гран-при Венгрии;29;июля;Хунгароринг
185;2018;Гран-при Бельгии;26;августа;Спа-Франкоршан
186;2018;Гран-при Италии;02;сентября;Монца
187;2018;Гран-при Сингапура;16;сентября;Марина Бей
188;2018;Гран-при России;30;сентября;Сочи
189;2018;Гран-при Японии;07;октября;Сузука
190;2018;Гран-при США;21;октября;Остин
191;2018;Гран-при Мексики;28;октября;Мехико
