Unnamed: 0;Место;Пилот;Команда;Q1;Q2;Q3;gp_ind
0;1;13;10;1:25.211;1:24.855;1:26.202;0
1;2;12;10;1:25.006;1:24.783;1:26.505;0
2;3;128;37;1:25.938;1:25.121;1:26.830;0
3;4;55;8;1:25.922;1:25.152;1:26.914;0
4;5;103;48;1:25.846;1:25.123;1:26.973;0
5;6;36;44;1:25.499;1:25.281;1:26.975;0
6;7;68;15;1:25.844;1:25.319;1:27.033;0
7;8;122;44;1:26.194;1:25.265;1:27.127;0
8;9;93;15;1:25.899;1:25.380;1:27.163;0
9;10;124;37;1:25.427;1:25.241;1:27.246;0
10;11;133;8;1:25.827;1:25.504;-;0
11;12;1;38;1:26.026;1:25.605;-;0
12;13;73;48;1:26.074;1:25.607;-;0
13;14;53;30;1:26.184;1:25.726;-;0
14;15;144;30;1:26.454;БВ;-;0
15;16;23;43;1:26.503;-;-;0
16;17;88;38;1:26.598;-;-;0
17;18;129;16;1:26.677;-;-;0
18;19;117;16;1:26.742;-;-;0
19;20;21;43;1:26.964;-;-;0
20;1;13;10;1:35.058;1:33.784;1:35.181;1
21;2;122;44;1:34.745;1:33.990;1:35.273;1
22;3;128;37;1:34.935;1:34.276;1:35.518;1
23;4;12;10;1:34.681;1:34.387;1:35.651;1
24;5;36;44;1:34.907;1:34.258;1:35.690;1
25;6;103;48;1:35.083;1:34.547;1:35.750;1
26;7;124;37;1:35.027;1:34.222;1:35.797;1
27;8;55;8;1:35.166;1:34.562;1:36.106;1
28;9;93;15;1:35.476;1:34.456;1:36.170;1
29;10;1;38;1:35.260;1:34.706;1:37.659;1
30;11;133;8;1:35.110;1:34.769;-;1
31;12;73;48;1:35.341;1:34.788;-;1
32;13;144;30;1:35.280;1:34.905;-;1
33;14;53;30;1:35.023;1:34.924;-;1
34;15;21;43;1:35.507;1:35.431;-;1
35;16;68;15;1:35.642;-;-;1
36;17;88;38;1:35.708;-;-;1
37;18;129;16;1:35.908;-;-;1
38;19;117;16;1:35.951;-;-;1
39;20;23;43;1:36.107;-;-;1
40;1;128;37;1:36.565;1:35.130;1:36.184;2
41;2;1;38;1:36.443;1:35.803;1:36.381;2
42;3;124;37;1:35.751;1:35.173;1:36.466;2
43;4;12;10;1:35.701;1:35.503;1:36.493;2
44;5;13;10;1:35.533;1:35.556;1:36.532;2
45;6;122;44;1:36.308;1:35.645;1:36.835;2
46;7;103;48;1:35.941;1:35.809;1:37.397;2
47;8;93;15;1:36.137;1:35.856;1:38.089;2
48;9;144;30;1:35.776;1:35.740;1:38.595;2
49;10;23;43;1:36.284;1:35.965;1:39.321;2
50;11;133;8;1:36.525;1:35.975;-;2
51;12;53;30;1:36.646;1:36.032;-;2
52;13;68;15;1:36.178;1:36.033;-;2
53;14;36;44;1:36.364;1:36.066;-;2
54;15;73;48;1:36.673;1:36.193;-;2
55;16;21;43;1:36.906;-;-;2
56;17;88;38;1:36.908;-;-;2
57;18;55;8;1:36.966;-;-;2
58;19;117;16;1:37.669;-;-;2
59;20;129;16;1:37.672;-;-;2
60;1;122;44;1:32.779;1:32.671;1:33.431;3
61;2;36;44;1:33.165;1:32.613;1:33.712;3
62;3;128;37;1:32.680;1:32.474;1:34.015;3
63;4;13;10;1:32.978;1:32.842;1:34.044;3
64;5;144;30;1:32.851;1:32.877;1:34.196;3
65;6;12;10;1:33.116;1:32.842;1:34.239;3
66;7;1;38;1:33.627;1:32.860;1:34.578;3
67;8;68;15;1:33.297;1:33.014;1:34.818;3
68;9;103;48;1:33.672;1:33.166;1:35.134;3
69;10;93;15;1:33.117;1:32.827;1:35.380;3
70;11;53;30;1:33.479;1:33.242;-;3
71;12;73;48;1:33.221;1:33.348;-;3
72;13;55;8;1:33.495;1:33.487;-;3
73;14;133;8;1:33.377;1:33.562;-;3
74;15;88;38;1:33.608;1:33.941;-;3
75;16;117;16;1:33.722;-;-;3
76;17;23;43;1:33.753;-;-;3
77;18;129;16;1:33.910;-;-;3
78;19;124;37;1:34.038;-;-;3
79;20;21;43;1:34.159;-;-;3
80;1;13;10;1:20.707;1:20.192;1:20.527;4
81;2;128;37;1:20.715;1:20.220;1:20.660;4
82;3;12;10;1:20.808;1:19.954;1:20.762;4
83;4;68;15;1:20.484;1:20.149;1:20.934;4
84;5;124;37;1:20.689;1:20.007;1:21.049;4
85;6;36;44;1:20.877;1:20.107;1:21.247;4
86;7;122;44;1:21.189;1:20.420;1:21.254;4
87;8;1;38;1:21.186;1:20.509;1:21.392;4
88;9;103;48;1:20.745;1:20.256;1:22.558;4
89;10;55;8;1:20.931;1:20.408;1:22.685;4
90;11;73;48;1:20.818;1:20.531;-;4
91;12;88;38;1:21.128;1:20.604;-;4
92;13;133;8;1:21.095;1:20.676;-;4
93;14;144;30;1:20.991;1:20.805;-;4
94;15;23;43;1:21.033;1:21.067;-;4
95;16;93;15;1:21.291;-;-;4
96;17;21;43;1:21.300;-;-;4
97;18;53;30;1:21.675;-;-;4
98;19;117;16;1:21.742;-;-;4
99;20;129;16;1:22.204;-;-;4
100;1;13;10;1:15.210;1:15.016;1:14.902;5
101;2;93;15;1:15.746;1:14.514;1:14.927;5
102;3;12;10;1:15.425;1:14.829;1:15.077;5
103;4;128;37;1:15.915;1:14.879;1:15.271;5
104;5;68;15;1:15.340;1:15.001;1:15.437;5
105;6;103;48;1:15.094;1:14.846;1:15.455;5
106;7;53;30;1:15.495;1:14.809;1:15.516;5
107;8;124;37;1:15.260;1:14.825;1:15.653;5
108;9;1;38;1:15.898;1:15.200;1:16.009;5
109;10;73;48;1:15.930;1:15.579;1:17.344;5
110;11;23;43;1:15.834;1:15.833;-;5
111;12;88;38;1:16.013;1:15.837;-;5
112;13;129;16;1:16.063;1:16.146;-;5
113;14;21;43;1:16.120;1:16.281;-;5
114;15;117;16;1:16.248;1:16.545;-;5
115;16;144;30;1:16.264;-;-;5
116;17;133;8;1:16.264;-;-;5
117;18;55;8;1:16.405;-;-;5
118;19;122;44;1:16.548;-;-;5
119;20;36;44;1:16.788;-;-;5
120;1;128;37;1:27.330;1:27.016;1:28.316;6
121;2;13;10;1:27.355;1:27.230;1:28.421;6
122;3;12;10;1:27.371;1:27.418;1:28.579;6
123;4;124;37;1:27.466;1:27.416;1:28.613;6
124;5;122;44;1:27.529;1:27.195;1:28.666;6
125;6;93;15;1:27.556;1:27.387;1:28.815;6
126;7;68;15;1:27.508;1:27.349;1:28.858;6
127;8;1;38;1:27.988;1:27.473;1:29.075;6
128;9;103;48;1:27.517;1:27.418;1:29.191;6
129;10;55;8;1:27.788;1:27.455;1:29.357;6
130;11;133;8;1:27.795;1:27.521;-;6
131;12;73;48;1:27.691;1:27.629;-;6
132;13;36;44;1:28.160;1:27.795;-;6
133;14;53;30;1:28.199;1:28.207;-;6
134;15;117;16;1:28.278;1:28.391;-;6
135;16;144;30;1:28.318;-;-;6
136;17;88;38;1:28.582;-;-;6
137;18;23;43;1:28.708;-;-;6
138;19;129;16;1:28.717;-;-;6
139;20;21;43;1:28.918;-;-;6
140;1;128;37;1:18.685;1:18.119;1:19.509;7
141;2;12;10;1:19.325;1:18.335;1:19.856;7
142;3;124;37;1:18.674;1:18.209;1:19.868;7
143;4;122;44;1:18.886;1:18.240;1:20.091;7
144;5;73;48;1:18.530;1:18.575;1:20.216;7
145;6;13;10;1:18.957;1:18.663;1:20.289;7
146;7;103;48;1:19.228;1:18.591;1:20.361;7
147;8;36;44;1:19.198;1:18.791;1:20.490;7
148;9;93;15;1:19.010;1:18.566;1:20.715;7
149;10;1;38;1:19.167;1:18.761;1:20.741;7
150;11;68;15;1:19.148;1:18.927;-;7
151;12;55;8;1:19.730;1:19.308;-;7
152;13;53;30;1:19.732;1:19.353;-;7
153;14;88;38;1:19.555;1:19.392;-;7
154;15;133;8;1:19.559;1:19.448;-;7
155;16;129;16;1:19.802;-;-;7
156;17;21;43;1:19.898;-;-;7
157;18;117;16;1:19.909;-;-;7
158;19;144;30;1:19.917;-;-;7
159;20;23;43;1:20.236;-;-;7
160;1;124;37;1:31.257;1:38.038;1:32.230;8
161;2;12;10;1:31.482;1:34.455;1:32.357;8
162;3;13;10;1:31.568;1:39.032;1:32.473;8
163;4;128;37;1:31.430;1:39.504;1:32.480;8
164;5;144;30;1:31.473;1:39.149;1:32.616;8
165;6;53;30;1:31.881;1:40.826;1:33.859;8
166;7;117;16;1:32.015;1:36.740;1:34.316;8
167;8;68;15;1:31.600;1:41.708;1:34.574;8
168;9;93;15;1:31.869;1:41.730;1:34.710;8
169;10;88;38;1:32.128;1:35.737;1:34.803;8
170;11;133;8;1:31.771;1:42.310;-;8
171;12;1;38;1:31.302;1:42.318;-;8
172;13;73;48;1:31.884;1:42.500;-;8
173;14;122;44;1:31.760;1:42.771;-;8
174;15;103;48;1:31.598;1:42.859;-;8
175;16;55;8;1:32.190;-;-;8
176;17;23;43;1:32.251;-;-;8
177;18;129;16;1:32.402;-;-;8
178;19;36;44;1:32.423;-;-;8
179;20;21;43;1:33.559;-;-;8
180;1;1;38;1:21.313;1:20.826;1:21.569;9
181;2;128;37;1:21.178;1:20.604;1:21.607;9
182;3;124;37;1:20.964;1:20.358;1:21.741;9
183;4;144;30;1:20.842;1:20.465;1:21.839;9
184;5;103;48;1:20.793;1:20.862;1:21.890;9
185;6;53;30;1:21.659;1:20.807;1:22.095;9
186;7;93;15;1:21.500;1:20.647;1:22.468;9
187;8;13;10;1:21.471;1:20.707;1:22.511;9
188;9;73;48;1:21.407;1:20.570;1:22.835;9
189;10;68;15;1:21.420;1:20.823;БВ;9
190;11;23;43;1:21.571;1:21.002;-;9
191;12;122;44;1:21.416;1:21.082;-;9
192;13;12;10;1:21.558;1:21.222;-;9
193;14;36;44;1:21.584;1:21.242;-;9
194;15;88;38;1:21.278;1:21.389;-;9
195;16;133;8;1:21.738;-;-;9
196;17;129;16;1:21.807;-;-;9
197;18;117;16;1:21.868;-;-;9
198;19;55;8;1:21.901;-;-;9
199;20;3;43;1:22.359;-;-;9
200;1;144;30;1:38.649;1:38.182;1:39.498;10
201;2;53;30;1:38.816;1:38.230;1:39.532;10
202;3;12;10;1:39.019;1:38.076;1:39.563;10
203;4;128;37;1:39.295;1:38.273;1:39.789;10
204;5;13;10;1:38.531;1:38.601;1:39.821;10
205;6;93;15;1:38.843;1:38.782;1:40.144;10
206;7;103;48;1:39.039;1:38.346;1:40.185;10
207;8;1;38;1:39.155;1:38.717;1:40.236;10
208;9;124;37;1:38.983;1:38.625;1:40.239;10
209;10;55;8;1:38.806;1:38.747;1:40.512;10
210;11;133;8;1:39.032;1:38.826;-;10
211;12;117;16;1:39.145;1:38.846;-;10
212;13;36;44;1:39.459;1:38.991;-;10
213;14;38;38;1:39.322;1:39.040;-;10
214;15;23;43;1:38.912;1:39.514;-;10
215;16;129;16;1:39.531;-;-;10
216;17;73;48;1:39.795;-;-;10
217;18;122;44;1:39.807;-;-;10
218;19;3;43;1:39.925;-;-;10
219;20;10;15;1:41.413;-;-;10
220;1;129;16;1:45.102;1:44.667;1:46.308;11
221;2;122;44;1:45.140;1:44.503;1:46.395;11
222;3;133;8;1:45.566;1:44.709;1:46.500;11
223;4;12;10;1:45.237;1:44.834;1:46.513;11
224;5;55;8;1:45.655;1:44.557;1:46.586;11
225;6;93;15;1:45.579;1:44.953;1:46.633;11
226;7;36;44;1:45.450;1:44.877;1:46.677;11
227;8;128;37;1:45.372;1:44.592;1:46.761;11
228;9;124;37;1:45.350;1:44.924;1:46.788;11
229;10;103;48;1:45.486;1:45.047;1:47.362;11
230;11;117;16;1:45.239;1:45.119;-;11
231;12;144;30;1:45.767;1:45.122;-;11
232;13;1;38;1:45.707;1:45.136;-;11
233;14;13;10;1:45.761;1:45.251;-;11
234;15;53;30;1:45.705;1:45.259;-;11
235;16;23;43;1:45.951;-;-;11
236;17;3;43;1:46.032;-;-;11
237;18;73;48;1:46.307;-;-;11
238;19;38;38;1:46.359;-;-;11
239;20;10;15;1:46.957;-;-;11
240;1;144;30;1:23.375;1:22.973;1:24.066;12
241;2;117;16;1:23.576;1:23.070;1:24.261;12
242;3;93;15;1:23.349;1:23.426;1:24.523;12
243;4;53;30;1:23.515;1:23.528;1:24.845;12
244;5;12;10;1:23.483;1:22.976;1:25.015;12
245;6;13;10;1:23.403;1:22.955;1:25.030;12
246;7;61;16;1:23.578;1:23.207;1:25.043;12
247;8;1;38;1:23.708;1:23.497;1:25.072;12
248;9;128;37;1:23.558;1:23.545;1:25.180;12
249;10;124;37;1:23.755;1:23.273;1:25.314;12
250;11;122;44;1:24.014;1:23.611;-;12
251;12;38;38;1:23.975;1:23.728;-;12
252;13;55;8;1:24.001;1:23.866;-;12
253;14;129;15;1:23.828;1:23.901;-;12
254;15;133;8;1:23.584;1:24.275;-;12
255;16;36;44;1:24.036;-;-;12
256;17;73;48;1:24.074;-;-;12
257;18;103;48;1:24.121;-;-;12
258;19;23;43;1:24.220;-;-;12
259;20;3;43;1:24.951;-;-;12
260;1;144;30;1:46.977;1:46.657;1:47.891;13
261;2;128;37;1:47.541;1:46.362;1:48.204;13
262;3;103;48;1:47.390;1:46.197;1:48.348;13
263;4;124;37;1:47.646;1:46.328;1:48.722;13
264;5;12;10;1:47.397;1:46.787;1:48.828;13
265;6;1;38;1:47.757;1:46.767;1:49.054;13
266;7;36;44;1:47.770;1:46.707;1:49.180;13
267;8;133;8;1:47.347;1:46.832;1:49.307;13
268;9;55;8;1:47.615;1:46.813;1:49.514;13
269;10;53;30;1:47.542;1:46.842;1:49.778;13
270;11;73;48;1:47.637;1:47.013;-;13
271;12;13;10;1:47.180;1:47.141;-;13
272;13;93;15;1:47.293;1:47.177;-;13
273;14;23;43;1:47.677;1:47.369;-;13
274;15;122;44;1:47.690;1:47.413;-;13
275;16;117;16;1:48.231;-;-;13
276;17;3;43;1:48.340;-;-;13
277;18;129;15;1:48.350;-;-;13
278;19;38;38;1:48.544;-;-;13
279;20;61;16;1:48.792;-;-;13
280;1;128;37;1:30.883;1:30.341;1:32.160;14
281;2;122;44;1:31.063;1:30.737;1:32.220;14
282;3;144;30;1:30.917;1:30.627;1:32.395;14
283;4;117;16;1:31.386;1:31.222;1:32.466;14
284;5;12;10;1:31.272;1:31.055;1:32.660;14
285;6;133;8;1:31.501;1:31.260;1:32.945;14
286;7;13;10;1:31.041;1:30.880;1:32.962;14
287;8;93;15;1:31.228;1:31.052;1:32.980;14
288;9;53;30;1:31.499;1:31.223;БВ;14
289;10;23;43;1:31.196;1:31.103;БВ;14
290;11;103;48;1:31.286;1:31.482;-;14
291;12;1;38;1:31.401;1:31.638;-;14
292;13;55;8;1:31.417;1:32.341;-;14
293;14;36;44;1:31.550;БВ;-;14
294;15;3;43;1:31.571;БВ;-;14
295;16;129;15;1:31.704;-;-;14
296;17;73;48;1:31.718;-;-;14
297;18;38;38;1:32.073;-;-;14
298;19;61;16;1:32.087;-;-;14
299;20;124;37;БВ;-;-;14
300;1;12;10;1:24.100;1:21.659;1:19.576;15
301;2;124;37;1:24.722;1:20.803;1:19.688;15
302;3;117;16;1:24.447;1:20.753;1:19.912;15
303;4;122;44;1:24.621;1:20.635;1:20.097;15
304;5;93;15;1:23.047;1:21.378;1:20.168;15
305;6;23;43;1:24.591;1:20.701;1:20.250;15
306;7;103;48;1:23.828;1:20.368;1:20.326;15
307;8;55;8;1:23.072;1:21.147;1:20.631;15
308;9;73;48;1:23.161;1:20.427;1:20.674;15
309;10;1;38;1:24.842;1:21.657;1:21.422;15
310;11;52;44;1:24.335;1:21.960;-;15
311;12;3;43;1:24.773;1:22.231;-;15
312;13;38;38;1:24.394;1:22.477;-;15
313;14;13;10;1:24.297;1:22.504;-;15
314;15;61;16;1:24.645;БВ;-;15
315;16;128;37;1:25.009;-;-;15
316;17;53;30;1:25.052;-;-;15
317;18;144;30;1:25.192;-;-;15
318;19;133;8;1:25.515;-;-;15
319;20;129;15;1:40.703;-;-;15
320;1;144;30;1:39.873;1:39.695;1:40.948;16
321;2;128;37;1:40.666;1:39.984;1:41.615;16
322;3;124;37;1:40.667;1:40.272;1:41.726;16
323;4;12;10;1:40.574;1:40.421;1:41.786;16
324;5;13;10;1:40.378;1:40.148;1:41.892;16
325;6;122;44;1:40.517;1:40.373;1:41.897;16
326;7;55;8;1:40.520;1:40.545;1:41.992;16
327;8;133;8;1:40.558;1:40.635;1:42.343;16
328;9;103;48;1:40.842;1:40.661;1:42.583;16
329;10;23;43;1:40.908;1:40.430;1:42.713;16
330;11;93;15;1:41.100;1:40.726;-;16
331;12;52;44;1:41.035;1:40.777;-;16
332;13;53;30;1:40.808;1:40.983;-;16
333;14;73;48;1:41.096;1:41.148;-;16
334;15;3;43;1:41.503;1:41.689;-;16
335;16;1;38;1:41.667;-;-;16
336;17;61;16;1:41.701;-;-;16
337;18;117;16;1:41.863;-;-;16
338;19;38;38;1:41.950;-;-;16
339;20;129;15;1:42.184;-;-;16
340;1;128;37;1:55.029;1:53.883;1:54.101;17
341;2;68;15;1:55.313;1:54.331;1:54.242;17
342;3;1;15;1:54.612;1:54.172;1:54.608;17
343;4;144;30;1:55.341;1:54.707;1:55.217;17
344;5;103;31;1:55.463;1:54.682;1:55.241;17
345;6;124;37;1:55.298;1:54.318;1:55.284;17
346;7;151;31;1:55.593;1:55.105;1:55.524;17
347;8;13;30;1:55.715;1:55.168;1:55.672;17
348;9;55;38;1:55.511;1:54.963;1:55.885;17
349;10;117;16;1:55.213;1:54.996;1:56.309;17
350;11;12;48;1:55.969;1:55.330;-;17
351;12;61;16;1:55.628;1:55.653;-;17
352;13;145;48;1:56.375;1:55.857;-;17
353;14;102;39;1:56.428;1:56.237;-;17
354;15;23;43;1:56.189;1:56.265;-;17
355;16;52;39;1:56.541;1:56.270;-;17
356;17;85;38;1:56.167;1:56.619;-;17
357;18;3;43;1:57.071;-;-;17
358;19;36;47;1:59.728;-;-;17
359;20;122;24;1:59.852;-;-;17
360;21;53;24;2:00.313;-;-;17
361;22;37;47;2:00.587;-;-;17
362;23;109;20;2:03.240;-;-;17
363;24;147;20;2:04.904;-;-;17
364;1;128;37;1:24.774;1:24.096;1:23.919;18
365;2;124;37;1:25.286;1:24.276;1:24.035;18
366;3;1;15;1:25.082;1:24.335;1:24.111;18
367;4;13;30;1:24.897;1:24.531;1:24.675;18
368;5;68;15;1:25.548;1:25.010;1:24.837;18
369;6;103;31;1:24.788;1:24.788;1:24.884;18
370;7;151;31;1:25.351;1:24.871;1:24.927;18
371;8;12;48;1:25.702;1:25.085;1:25.217;18
372;9;55;38;1:25.588;1:25.122;1:25.372;18
373;10;117;16;1:25.504;1:25.046;1:26.036;18
374;11;144;30;1:25.046;1:25.184;-;18
375;12;23;43;1:26.061;1:25.638;-;18
376;13;61;16;1:26.170;1:25.743;-;18
377;14;102;39;1:26.089;1:25.747;-;18
378;15;145;48;1:25.866;1:25.748;-;18
379;16;52;39;1:26.251;1:25.777;-;18
380;17;3;43;1:26.095;1:26.089;-;18
381;18;85;38;1:26.471;-;-;18
382;19;53;24;1:28.797;-;-;18
383;20;122;24;1:29.111;-;-;18
384;21;36;47;1:29.592;-;-;18
385;22;37;47;1:30.185;-;-;18
386;23;109;20;1:30.526;-;-;18
387;24;147;20;1:30.613;-;-;18
388;1;124;37;1:51.886;1:48.210;1:49.327;19
389;2;103;31;1:52.560;1:47.417;1:50.673;19
390;3;128;37;1:47.632;1:46.828;1:50.789;19
391;4;117;16;1:49.479;1:47.085;1:50.914;19
392;5;145;48;1:49.664;1:47.346;1:51.001;19
393;6;55;38;1:46.283;1:46.951;1:51.051;19
394;7;12;48;1:50.301;1:48.371;1:51.511;19
395;8;151;31;1:52.239;1:48.400;1:51.717;19
396;9;52;39;1:48.467;1:47.792;1:51.767;19
397;10;61;16;1:49.922;1:48.238;1:52.254;19
398;11;85;38;1:47.952;1:48.760;-;19
399;12;102;39;1:47.153;1:48.771;-;19
400;13;23;43;1:48.945;1:49.207;-;19
401;14;3;43;1:48.655;1:49.464;-;19
402;15;53;24;1:52.875;1:52.270;-;19
403;16;36;47;1:52.398;1:52.520;-;19
404;17;13;30;1:52.211;БВ;-;19
405;18;122;24;1:52.884;-;-;19
406;19;1;15;1:53.044;-;-;19
407;20;144;30;1:53.050;-;-;19
408;21;68;15;1:53.283;-;-;19
409;22;147;20;1:56.299;-;-;19
410;23;109;20;1:57.269;-;-;19
411;24;37;47;1:59.977;-;-;19
412;1;128;37;1:36.317;1:35.280;1:34.558;20
413;2;124;37;1:35.978;1:35.100;1:34.806;20
414;3;1;15;1:35.987;1:35.235;1:34.913;20
415;4;103;31;1:35.952;1:35.134;1:34.923;20
416;5;13;30;1:36.122;1:35.443;1:34.979;20
417;6;144;30;1:35.641;1:34.928;1:35.034;20
418;7;68;15;1:36.076;1:35.290;1:35.180;20
419;8;55;38;1:36.348;1:35.550;1:35.364;20
420;9;151;31;1:36.484;1:35.715;1:35.646;20
421;10;117;16;1:36.671;1:35.665;1:35.963;20
422;11;12;48;1:36.664;1:35.748;-;20
423;12;3;43;1:36.618;1:36.047;-;20
424;13;23;43;1:36.793;1:36.149;-;20
425;14;85;38;1:37.031;1:36.311;-;20
426;15;52;39;1:37.044;1:36.422;-;20
427;16;145;48;1:37.049;1:36.647;-;20
428;17;102;39;1:37.050;1:37.020;-;20
429;18;61;16;1:37.161;-;-;20
430;19;36;47;1:39.278;-;-;20
431;20;122;24;1:39.399;-;-;20
432;21;53;24;1:39.520;-;-;20
433;22;37;47;1:39.783;-;-;20
434;23;109;20;1:40.469;-;-;20
435;24;147;20;1:40.578;-;-;20
436;1;124;37;1:21.412;1:20.655;1:19.995;21
437;2;128;37;1:21.680;1:20.772;1:20.101;21
438;3;144;30;1:21.723;1:21.415;1:20.829;21
439;4;1;15;1:21.957;1:21.549;1:20.937;21
440;5;13;30;1:21.915;1:21.168;1:20.991;21
441;6;151;31;1:22.528;1:21.557;1:21.294;21
442;7;55;38;1:22.488;1:21.599;1:21.353;21
443;8;103;31;1:22.419;1:21.867;1:21.408;21
444;9;68;15;1:22.564;1:21.841;1:21.585;21
445;10;52;39;1:22.577;1:21.725;1:21.984;21
446;11;117;16;1:22.628;1:21.985;-;21
447;12;102;39;1:22.211;1:22.026;-;21
448;13;145;48;1:22.857;1:22.131;-;21
449;14;85;38;1:22.976;1:22.139;-;21
450;15;23;43;1:22.699;1:22.191;-;21
451;16;3;43;1:22.593;1:22.207;-;21
452;17;61;16;1:23.084;1:22.854;-;21
453;18;12;48;1:23.125;-;-;21
454;19;122;24;1:24.674;-;-;21
455;20;53;24;1:24.748;-;-;21
456;21;36;47;1:25.475;-;-;21
457;22;37;47;1:25.556;-;-;21
458;23;147;20;1:26.750;-;-;21
459;24;109;20;1:27.122;-;-;21
460;1;124;37;1:15.035;1:14.462;1:13.826;22
461;2;55;38;1:15.045;1:14.549;1:14.120;22
462;3;128;37;1:15.110;1:14.568;1:14.227;22
463;4;68;15;1:14.757;1:14.405;1:14.283;22
464;5;144;30;1:15.676;1:14.527;1:14.432;22
465;6;103;31;1:15.188;1:14.375;1:14.544;22
466;7;151;31;1:15.649;1:14.691;1:14.590;22
467;8;13;30;1:15.623;1:15.150;1:14.637;22
468;9;12;48;1:15.590;1:15.083;1:14.901;22
469;10;61;16;1:15.397;1:15.061;1:15.170;22
470;11;145;48;1:16.030;1:15.317;-;22
471;12;117;16;1:15.445;1:15.318;-;22
472;13;23;43;1:15.961;1:15.413;-;22
473;14;85;38;1:15.482;1:15.576;-;22
474;15;102;39;1:15.908;1:15.692;-;22
475;16;52;39;1:16.175;1:15.992;-;22
476;17;3;43;1:16.021;1:16.176;-;22
477;18;53;24;1:17.094;-;-;22
478;19;122;24;1:17.134;-;-;22
479;20;36;47;1:17.377;-;-;22
480;21;37;47;1:17.864;-;-;22
481;22;109;20;1:18.509;-;-;22
482;23;147;20;1:19.559;-;-;22
483;24;1;15;БВ;-;-;22
484;1;124;37;1:27.500;1:26.818;1:26.295;23
485;2;144;30;1:27.667;1:27.013;1:26.433;23
486;3;128;37;1:27.067;1:26.729;1:26.760;23
487;4;13;30;1:27.555;1:27.277;1:26.781;23
488;5;151;31;1:27.756;1:27.438;1:26.857;23
489;6;103;31;1:27.649;1:27.141;1:26.952;23
490;7;55;38;1:27.766;1:27.426;1:27.039;23
491;8;68;15;1:27.993;1:27.200;1:27.082;23
492;9;85;38;1:27.620;1:27.387;1:27.430;23
493;10;52;39;1:28.158;1:27.434;1:28.122;23
494;11;117;16;1:27.951;1:27.525;-;23
495;12;1;15;1:27.857;1:27.612;-;23
496;13;102;39;1:28.147;1:27.879;-;23
497;14;23;43;1:28.534;1:28.273;-;23
498;15;12;48;1:28.336;1:28.392;-;23
499;16;3;43;1:28.460;1:28.540;-;23
500;17;145;48;1:28.227;1:28.841;-;23
501;18;61;16;1:28.958;-;-;23
502;19;122;24;1:30.237;-;-;23
503;20;53;24;1:30.519;-;-;23
504;21;36;47;1:30.744;-;-;23
505;22;109;20;1:31.266;-;-;23
506;23;37;47;1:31.989;-;-;23
507;24;147;20;1:32.060;-;-;23
508;1;144;30;1:15.889;1:15.528;1:15.105;24
509;2;124;37;1:16.423;1:15.692;1:15.373;24
510;3;128;37;1:16.129;1:15.556;1:15.420;24
511;4;1;15;1:16.171;1:15.597;1:15.435;24
512;5;13;30;1:16.371;1:15.742;1:15.520;24
513;6;61;16;1:17.086;1:16.171;1:15.648;24
514;7;68;15;1:16.673;1:16.314;1:15.688;24
515;8;55;38;1:16.370;1:15.682;1:15.715;24
516;9;117;16;1:16.495;1:16.295;1:15.881;24
517;10;103;31;1:16.350;1:16.001;1:16.071;24
518;11;12;48;1:16.880;1:16.434;-;24
519;12;145;48;1:16.770;1:16.438;-;24
520;13;151;31;1:16.598;1:16.492;-;24
521;14;85;38;1:16.569;1:16.844;-;24
522;15;23;43;1:17.356;1:16.928;-;24
523;16;3;43;1:17.027;1:17.029;-;24
524;17;102;39;1:17.611;1:17.384;-;24
525;18;52;39;1:18.019;-;-;24
526;19;53;24;1:18.237;-;-;24
527;20;122;24;1:18.698;-;-;24
528;21;36;47;1:18.941;-;-;24
529;22;109;20;1:19.484;-;-;24
530;23;37;47;1:19.675;-;-;24
531;24;147;20;1:27.757;-;-;24
532;1;128;37;1:38.324;1:38.015;1:37.587;25
533;2;124;37;1:38.549;1:38.041;1:37.662;25
534;3;144;30;1:38.697;1:38.158;1:37.969;25
535;4;1;15;1:38.472;1:38.179;1:38.075;25
536;5;68;15;1:38.657;1:38.046;1:38.127;25
537;6;55;38;1:38.132;1:38.062;1:38.137;25
538;7;13;30;1:38.360;1:38.399;1:38.210;25
539;8;145;48;1:38.843;1:38.523;1:38.428;25
540;9;12;48;1:38.449;1:38.326;1:38.428;25
541;10;85;38;1:39.004;1:38.552;1:38.523;25
542;11;23;43;1:39.096;1:38.586;-;25
543;12;103;31;1:38.752;1:38.627;-;25
544;13;117;16;1:39.021;1:38.851;-;25
545;14;61;16;1:38.969;1:38.884;-;25
546;15;151;31;1:38.994;1:39.234;-;25
547;16;102;39;1:39.003;1:39.264;-;25
548;17;3;43;1:39.128;1:39.458;-;25
549;18;52;39;1:39.343;-;-;25
550;19;122;24;1:40.658;-;-;25
551;20;53;24;1:40.882;-;-;25
552;21;37;47;1:42.086;-;-;25
553;22;36;47;1:42.140;-;-;25
554;23;147;20;1:42.600;-;-;25
555;24;109;20;1:42.851;-;-;25
556;1;128;37;1:30.841;1:30.480;1:29.615;26
557;2;124;37;1:30.858;1:30.114;1:29.758;26
558;3;1;15;1:30.997;1:30.700;1:30.426;26
559;4;144;30;1:31.297;1:31.118;1:30.556;26
560;5;103;31;1:31.626;1:31.085;1:30.625;26
561;6;55;38;1:31.680;1:31.344;1:31.040;26
